Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,160.350006,167.929993,155.910004,160.320007,160.320007,113300800
2022-09-05,160.100006,169.539993,156.809998,169.149994,169.149994,80788600
2022-09-12,167.389999,171.389999,144.289993,146.289993,146.289993,185457800
2022-09-19,145.240005,149.600006,138.889999,140.410004,140.410004,149854700
2022-09-26,140.119995,142.240005,134.119995,135.679993,135.679993,166133800
2022-10-03,137.139999,142.389999,132.440002,133.449997,133.449997,159819000
2022-10-10,133.550003,136.110001,122.529999,126.760002,126.760002,154995700
2022-10-17,130.300003,137.839996,125.440002,130.009995,130.009995,158453100
2022-10-24,127.250000,138.350006,96.379997,99.199997,99.199997,513033000
2022-10-31,98.220001,99.320000,88.089996,90.790001,90.790001,419674200
2022-11-07,94.779999,114.900002,93.099998,113.019997,113.019997,382385600
2022-11-14,110.989998,118.739998,109.800003,112.050003,112.050003,205804800
2022-11-21,111.519997,112.730003,108.320000,111.410004,111.410004,86730800
2022-11-28,110.779999,124.040001,108.379997,123.489998,123.489998,167059100
2022-12-05,121.750000,124.669998,112.879997,115.900002,115.900002,165278000
2022-12-12,115.180000,124.139999,113.139999,119.430000,119.430000,207965200
2022-12-19,116.830002,120.339996,112.459999,118.040001,118.040001,120319900
2022-12-26,117.930000,121.029999,115.510002,120.339996,120.339996,82954800
2023-01-02,122.820000,130.330002,122.279999,130.020004,130.020004,120957200
2023-01-09,131.160004,137.679993,127.150002,136.979996,136.979996,133938000
2023-01-16,136.179993,139.940002,132.139999,139.369995,139.369995,98676900
2023-01-23,139.289993,153.190002,138.660004,151.740005,151.740005,137316300
2023-01-30,149.410004,197.160004,146.949997,186.529999,186.529999,340828600
2023-02-06,186.529999,193.779999,173.350006,174.149994,174.149994,196256000
2023-02-13,178.220001,181.509995,169.699997,172.880005,172.880005,130805500
2023-02-20,174.309998,178.169998,167.660004,170.389999,170.389999,96834900
2023-02-27,171.880005,186.619995,169.059998,185.250000,185.250000,159556200
2023-03-06,188.000000,190.360001,178.800003,179.509995,179.509995,141591100
2023-03-13,177.960007,205.759995,174.820007,195.610001,195.610001,209082400
2023-03-20,198.479996,207.880005,193.639999,206.009995,206.009995,140597200
2023-03-27,204.809998,212.169998,197.899994,211.940002,211.940002,104554200
2023-04-03,208.839996,216.940002,208.199997,216.100006,216.100006,84452000
2023-04-10,214.710007,222.110001,210.660004,221.490005,221.490005,96690000
2023-04-17,219.789993,220.979996,209.580002,212.889999,212.889999,77853600
2023-04-24,213.679993,241.690002,207.130005,240.320007,240.320007,187692300
2023-05-01,238.619995,244.919998,229.850006,232.779999,232.779999,132826200
2023-05-08,231.419998,238.210007,230.270004,233.809998,233.809998,88989400
2023-05-15,236.919998,248.690002,235.330002,245.639999,245.639999,104553200
2023-05-22,245.410004,262.309998,244.949997,262.040009,262.040009,111309500
2023-05-29,265.250000,275.350006,258.450012,272.609985,272.609985,94305000
2023-06-05,270.299988,276.570007,258.880005,264.950012,264.950012,104163400
2023-06-12,267.170013,287.850006,265.329987,281.000000,281.000000,119857600
2023-06-19,278.730011,289.670013,276.220001,288.730011,288.730011,109809300
2023-06-26,288.700012,289.790009,277.600006,286.980011,286.980011,102134800
2023-07-03,286.700012,298.119995,284.850006,290.529999,290.529999,115641500
2023-07-10,295.549988,316.239990,287.049988,308.869995,308.869995,154178300
2023-07-17,307.540009,318.679993,291.200012,294.260010,294.260010,133778000
2023-07-24,295.779999,326.200012,288.299988,325.480011,325.480011,195207700
2023-07-31,323.690002,325.660004,309.929993,310.730011,310.730011,101859000
2023-08-07,313.230011,317.890015,300.359985,301.640015,301.640015,79702500
2023-08-14,300.980011,307.230011,274.380005,283.250000,283.250000,103824500
2023-08-21,283.450012,299.459991,276.029999,285.500000,285.500000,93514300
2023-08-28,288.000000,299.149994,285.799988,297.989990,297.989990,34446400
2023-08-29,288.584991,299.140015,288.179993,297.989990,297.989990,20213164
