Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,241.949997,256.082001,241.660004,253.720001,251.904907,2097400
2023-01-30,253.750000,270.350006,246.509995,260.040009,258.179688,3943700
2023-02-06,260.399994,270.119995,256.920013,259.679993,257.822266,2176600
2023-02-13,261.609985,268.704987,260.980011,266.880005,264.970764,1182000
2023-02-20,263.040009,264.619995,257.079987,259.109985,257.256317,1122900
2023-02-27,260.880005,273.144989,258.885010,271.450012,269.508087,1448800
2023-03-06,273.500000,274.079987,259.350006,261.230011,259.361176,1905300
2023-03-13,258.200012,265.309998,252.169998,259.200012,257.345703,1904000
2023-03-20,262.739990,271.000000,260.640015,265.369995,263.471558,1462700
2023-03-27,268.200012,272.109985,264.899994,270.940002,269.001709,1112400
2023-04-03,270.200012,275.279999,268.799988,271.940002,269.994568,1148200
2023-04-10,270.079987,286.609985,270.076996,285.529999,283.487335,1865900
2023-04-17,280.619995,281.640015,272.700012,278.029999,276.040985,1671800
2023-04-24,278.839996,280.644012,274.619995,278.640015,276.646637,1740700
2023-05-01,279.579987,297.739990,273.390015,296.809998,296.809998,2203300
2023-05-08,297.739990,297.816010,290.709991,296.269989,296.269989,1841000
2023-05-15,295.799988,299.220001,292.410004,298.239990,298.239990,1599200
2023-05-22,298.619995,302.855011,283.964996,290.760010,290.760010,1673100
2023-05-29,292.179993,300.290009,283.200012,298.600006,298.600006,1521300
2023-06-05,298.190002,299.010010,294.109985,297.799988,297.799988,1348100
2023-06-12,300.540009,309.290009,299.100006,308.019989,308.019989,2005000
2023-06-19,306.700012,309.119995,305.290009,307.519989,307.519989,1450900
2023-06-26,307.500000,327.070007,305.850006,325.209991,325.209991,1714300
2023-07-03,325.519989,326.019989,311.200012,314.489990,314.489990,1402600
2023-07-10,314.250000,329.500000,314.000000,328.779999,328.779999,1869800
2023-07-17,328.489990,329.880005,317.515015,318.010010,318.010010,1641200
2023-07-24,317.380005,323.609985,313.859985,321.820007,321.820007,1271600
2023-07-31,322.500000,322.500000,311.250000,311.450012,311.450012,1705800
2023-08-07,312.440002,318.649994,307.190002,311.190002,311.190002,1422500
2023-08-14,310.220001,317.160004,301.750000,305.750000,305.750000,1295500
2023-08-21,312.179993,313.829987,307.329987,311.260010,311.260010,823500
2023-08-28,312.149994,322.679993,305.779999,308.320007,308.320007,1412300
2023-09-04,307.299988,307.299988,304.070007,305.170013,305.170013,265000
2023-09-05,307.299988,307.299988,304.070007,305.170013,305.170013,249297
