Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,220.360001,220.679993,218.830002,220.529999,217.493668,225000
2021-09-08,219.479996,220.429993,219.009995,219.339996,216.320038,169300
2021-09-09,223.539993,223.580002,219.380005,219.550003,216.527145,496300
2021-09-10,222.669998,222.820007,219.039993,219.100006,216.083359,375900
2021-09-13,220.639999,220.639999,216.960007,219.289993,216.270721,287800
2021-09-14,221.720001,223.210007,220.589996,220.779999,217.740204,331200
2021-09-15,221.639999,222.000000,219.119995,221.479996,218.430573,377000
2021-09-16,221.820007,222.380005,218.300003,218.860001,215.846649,282900
2021-09-17,218.509995,218.520004,215.600006,216.389999,213.410660,194400
2021-09-20,212.449997,213.779999,211.679993,213.169998,210.234985,246200
2021-09-21,214.779999,215.580002,214.020004,214.710007,211.753799,296300
2021-09-22,214.570007,216.759995,213.880005,215.839996,212.868225,216300
2021-09-23,217.190002,217.889999,215.880005,217.119995,214.130600,131600
2021-09-24,215.740005,217.610001,215.740005,217.460007,214.465927,111600
2021-09-27,215.850006,217.589996,214.360001,216.550003,213.568451,245200
2021-09-28,215.119995,215.119995,210.509995,211.309998,208.400589,311700
2021-09-29,212.419998,212.460007,209.300003,209.380005,206.497177,155100
2021-09-30,208.279999,210.470001,207.779999,209.119995,206.240738,307400
2021-10-01,209.830002,210.470001,207.589996,209.190002,206.309799,119400
2021-10-04,207.839996,208.259995,205.690002,207.240005,204.386642,230800
2021-10-05,206.720001,211.289993,206.330002,209.710007,206.822647,227100
2021-10-06,206.149994,208.059998,206.000000,207.580002,204.721970,165900
2021-10-07,209.470001,212.470001,209.339996,211.220001,208.311829,216800
2021-10-08,212.220001,214.919998,211.869995,212.899994,209.968704,229700
2021-10-11,213.360001,217.160004,212.550003,215.160004,212.197586,408500
2021-10-12,215.699997,217.389999,215.039993,215.619995,212.651245,217900
2021-10-13,217.020004,217.020004,213.845001,214.050003,211.102875,472400
2021-10-14,217.869995,223.399994,217.139999,223.339996,220.264969,319700
2021-10-15,222.729996,224.429993,222.089996,224.419998,221.330093,274500
2021-10-18,222.119995,223.179993,221.160004,222.399994,219.337906,147900
2021-10-19,223.740005,225.809998,223.460007,224.690002,221.596375,265200
2021-10-20,224.389999,224.820007,222.869995,223.039993,219.969101,198300
2021-10-21,224.039993,225.699997,223.669998,224.610001,221.517471,115100
2021-10-22,224.399994,224.490005,222.240005,223.000000,219.929642,124800
2021-10-25,227.360001,232.774994,226.419998,231.009995,227.829361,398000
2021-10-26,236.320007,236.520004,229.899994,230.000000,226.833267,894600
2021-10-27,230.639999,232.830002,230.000000,231.440002,228.253448,284500
2021-10-28,236.300003,238.000000,234.529999,235.059998,231.823608,516100
2021-10-29,235.160004,237.539993,235.020004,237.169998,233.904541,874500
2021-11-01,241.350006,244.119995,238.899994,239.740005,236.439163,834500
2021-11-02,240.059998,249.009995,239.389999,248.809998,245.384277,601700
2021-11-03,261.670013,261.959991,253.589996,255.679993,252.159698,1116900
2021-11-04,256.450012,258.320007,254.759995,257.329987,253.786957,405800
2021-11-05,266.220001,266.670013,261.519989,262.519989,258.905518,628700
2021-11-08,262.359985,263.940002,260.730011,260.730011,257.140167,285800
2021-11-09,260.880005,261.000000,256.285004,256.670013,253.136078,381700
2021-11-10,254.949997,256.880005,252.720001,252.979996,249.496872,428500
2021-11-11,256.140015,258.440002,255.059998,258.100006,254.546402,353000
2021-11-12,259.799988,260.946991,258.299988,258.570007,255.009918,330100
2021-11-15,260.190002,260.290009,258.279999,258.850006,255.286057,139700
2021-11-16,258.660004,259.744995,257.480011,257.890015,254.339264,195500
2021-11-17,263.519989,268.500000,262.279999,266.279999,262.613770,851600
2021-11-18,266.839996,267.450012,264.420013,265.799988,262.140350,362600
2021-11-19,268.799988,271.899994,268.140015,271.309998,267.574493,456700
2021-11-22,275.369995,278.779999,273.000000,275.299988,271.509552,724300
2021-11-23,271.380005,271.799988,264.959991,266.959991,263.284363,516500
2021-11-24,264.059998,268.855011,263.899994,268.329987,264.635498,257900
2021-11-26,264.540009,265.890015,261.230011,262.709991,259.092896,273900
2021-11-29,266.100006,267.820007,265.070007,265.769989,262.110748,224500
2021-11-30,266.420013,267.660004,259.709991,260.459991,256.873871,380800
2021-12-01,263.720001,264.589996,256.850006,256.859985,253.323441,364100
2021-12-02,260.399994,263.750000,260.230011,262.480011,258.866058,465000
2021-12-03,261.899994,262.589996,256.799988,258.809998,255.246613,284600
2021-12-06,258.890015,261.320007,256.869995,258.529999,254.970459,367000
2021-12-07,263.640015,266.997986,263.149994,265.899994,262.238983,290100
2021-12-08,267.720001,268.420013,264.078003,267.070007,263.392883,288200
2021-12-09,263.549988,264.299988,259.755005,260.250000,256.666779,313700
2021-12-10,259.799988,261.500000,258.850006,261.299988,257.702301,413600
2021-12-13,259.880005,260.809998,257.709991,258.399994,254.842239,192600
2021-12-14,256.260010,256.739990,251.889999,253.309998,249.822311,449800
2021-12-15,258.500000,260.519989,255.910004,260.470001,256.883728,605800
2021-12-16,259.130005,260.040009,256.010010,256.579987,253.047287,301200
2021-12-17,253.800003,256.299988,252.270996,252.509995,249.033340,442000
2021-12-20,250.440002,251.059998,247.684998,249.600006,246.163406,520400
2021-12-21,249.399994,249.970001,246.839996,249.020004,245.591400,456100
2021-12-22,247.300003,251.649994,247.020004,250.699997,247.248260,243100
2021-12-23,250.000000,254.479996,249.839996,253.460007,249.970276,223300
2021-12-27,254.679993,258.559998,254.279999,258.140015,254.585846,169000
2021-12-28,258.309998,258.692993,257.100006,257.500000,253.954636,142300
2021-12-29,256.500000,258.089996,255.229996,257.799988,254.250488,119400
2021-12-30,257.049988,259.690002,256.760010,256.829987,253.293854,168200
2021-12-31,256.640015,260.429993,256.640015,258.820007,255.256454,133000
